,肇事地點,性別,年齡,受傷程度,天候,速限,事故位置,車種類,年齡組
0,0,1,19.0,2.0,8.0,30.0,9.0,0,0
1,0,1,18.0,2.0,8.0,30.0,9.0,0,0
2,0,1,19.0,3.0,8.0,30.0,9.0,0,0
3,0,2,20.0,2.0,8.0,30.0,9.0,1,0
4,1,1,51.0,3.0,8.0,50.0,1.0,2,1
5,1,1,19.0,2.0,8.0,50.0,1.0,0,0
6,1,2,18.0,2.0,8.0,50.0,1.0,1,0
7,1,1,13.0,4.0,8.0,50.0,1.0,1,0
8,2,1,19.0,2.0,8.0,0.0,22.0,0,0
9,2,2,18.0,2.0,8.0,0.0,22.0,1,0
10,3,1,18.0,4.0,7.0,50.0,9.0,1,0
11,3,1,18.0,3.0,7.0,50.0,9.0,0,0
12,3,2,18.0,2.0,7.0,50.0,9.0,1,0
13,4,1,22.0,3.0,8.0,50.0,1.0,2,2
14,4,1,22.0,2.0,8.0,50.0,1.0,0,2
15,5,1,18.0,2.0,7.0,50.0,1.0,0,0
16,5,1,50.0,3.0,7.0,50.0,1.0,2,3
17,6,1,19.0,2.0,7.0,40.0,2.0,0,0
18,7,2,28.0,3.0,8.0,60.0,9.0,2,2
19,7,1,18.0,2.0,8.0,60.0,9.0,0,0
20,8,1,18.0,2.0,8.0,50.0,2.0,0,0
21,8,2,24.0,3.0,8.0,50.0,2.0,3,2
22,9,1,33.0,2.0,8.0,50.0,1.0,2,4
23,9,1,59.0,2.0,8.0,50.0,1.0,2,1
24,10,1,17.0,2.0,7.0,50.0,1.0,2,0
25,10,1,29.0,3.0,7.0,50.0,1.0,2,2
26,10,2,16.0,2.0,7.0,50.0,1.0,1,0
27,11,1,19.0,2.0,8.0,50.0,1.0,0,0
28,11,1,53.0,3.0,8.0,50.0,1.0,2,1
29,12,1,23.0,2.0,8.0,50.0,1.0,0,2
30,12,1,21.0,3.0,8.0,50.0,1.0,2,2
31,13,1,30.0,1.0,8.0,50.0,9.0,0,2
32,14,1,65.0,3.0,8.0,50.0,1.0,2,5
33,14,2,52.0,2.0,8.0,50.0,1.0,0,1
34,15,1,51.0,3.0,8.0,50.0,2.0,2,1
35,15,2,36.0,2.0,8.0,50.0,2.0,0,4
36,16,1,20.0,3.0,8.0,0.0,1.0,2,0
37,16,2,25.0,2.0,8.0,0.0,1.0,0,2
38,17,1,19.0,2.0,8.0,50.0,2.0,0,0
39,17,1,26.0,3.0,8.0,50.0,2.0,0,2
40,18,1,52.0,2.0,8.0,50.0,1.0,2,1
41,18,1,60.0,3.0,8.0,50.0,1.0,2,1
42,19,1,60.0,4.0,8.0,50.0,9.0,2,1
43,19,2,43.0,2.0,8.0,50.0,9.0,0,3
44,20,1,30.0,3.0,8.0,50.0,1.0,0,2
45,20,1,22.0,2.0,8.0,50.0,1.0,0,2
46,21,1,61.0,3.0,8.0,50.0,1.0,2,5
47,21,1,83.0,2.0,8.0,50.0,1.0,1,6
48,22,1,28.0,3.0,8.0,50.0,1.0,2,2
49,22,1,54.0,2.0,8.0,50.0,1.0,2,1
50,23,1,53.0,3.0,8.0,50.0,2.0,2,1
51,23,2,85.0,2.0,8.0,50.0,2.0,1,6
52,24,1,63.0,3.0,8.0,50.0,1.0,2,5
53,24,2,58.0,2.0,8.0,50.0,1.0,1,1
54,25,1,55.0,3.0,8.0,50.0,9.0,4,1
55,25,1,62.0,2.0,8.0,50.0,9.0,0,5
56,25,1,48.0,3.0,8.0,50.0,9.0,2,3
57,26,2,44.0,3.0,8.0,70.0,2.0,2,3
58,27,2,23.0,2.0,8.0,50.0,1.0,0,2
59,26,2,55.0,2.0,8.0,70.0,2.0,0,1
60,27,1,48.0,3.0,8.0,50.0,1.0,2,3
61,28,1,37.0,3.0,8.0,50.0,1.0,2,4
62,28,1,24.0,2.0,8.0,50.0,1.0,0,2
63,29,2,30.0,2.0,8.0,40.0,11.0,0,2
64,29,2,47.0,2.0,8.0,40.0,11.0,1,3
65,30,1,33.0,2.0,8.0,50.0,9.0,0,4
66,30,1,83.0,2.0,8.0,50.0,9.0,3,6
67,31,2,25.0,2.0,8.0,30.0,1.0,0,2
68,31,1,43.0,2.0,8.0,30.0,1.0,0,3
69,32,1,31.0,2.0,8.0,50.0,9.0,2,4
70,32,1,41.0,3.0,8.0,50.0,9.0,2,3
71,33,2,40.0,2.0,7.0,0.0,9.0,0,4
72,33,2,56.0,3.0,7.0,0.0,9.0,2,1
73,34,1,46.0,3.0,8.0,50.0,1.0,2,3
74,34,2,44.0,2.0,8.0,50.0,1.0,0,3
75,34,2,50.0,2.0,8.0,50.0,1.0,1,3
76,35,1,37.0,2.0,8.0,40.0,22.0,0,4
77,35,2,56.0,2.0,8.0,40.0,22.0,0,1
78,36,1,48.0,2.0,8.0,40.0,1.0,0,3
79,36,1,54.0,2.0,8.0,40.0,1.0,0,1
80,37,1,20.0,2.0,8.0,50.0,10.0,0,0
81,37,1,50.0,3.0,8.0,50.0,10.0,4,3
82,37,2,27.0,2.0,8.0,50.0,10.0,1,2
83,38,1,32.0,2.0,8.0,50.0,2.0,0,4
84,38,1,32.0,4.0,8.0,50.0,2.0,4,4
85,39,1,24.0,2.0,8.0,40.0,2.0,0,2
86,39,1,58.0,3.0,8.0,40.0,2.0,2,1
87,40,1,49.0,4.0,8.0,50.0,2.0,2,3
88,40,1,23.0,2.0,8.0,50.0,2.0,0,2
89,41,2,73.0,2.0,7.0,50.0,9.0,0,7
90,41,1,72.0,2.0,7.0,50.0,9.0,1,7
91,42,2,41.0,3.0,8.0,50.0,1.0,2,3
92,42,2,26.0,2.0,8.0,50.0,1.0,0,2
93,42,1,19.0,2.0,8.0,50.0,1.0,1,0
94,43,1,53.0,3.0,7.0,50.0,9.0,2,1
95,43,2,48.0,2.0,7.0,50.0,9.0,1,3
96,44,2,56.0,2.0,8.0,50.0,9.0,2,1
